Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Davante Adams WR - LV,Davante Adams,WR,LV,@DEN,GLADIATORS of NORSCHT,,,,,,,7.0,141.0,2.0,,,,,,,0.0
Jordan Addison WR - MIN,Jordan Addison,WR,MIN,Bye,Slay,,,,,,,,,,,,,,,,0.0
Nelson Agholor WR - BAL View News,Nelson Agholor,WR,BAL,CAR,FA,,,,,,,2.0,18.0,,,,,,,,0.0
Jamal Agnew WR - JAX Q,Jamal Agnew,WR,JAX,Bye,FA,,,,,,,,,,,,,,,,0.0
Brandon Aiyuk WR - SF View News,Brandon Aiyuk,WR,SF,@ARI,St Quintin Heidschnucken,,,,,,,2.0,20.0,2.0,,,,,,,0.0
Maurice Alexander WR - DET,Maurice Alexander,WR,DET,Bye,W (Oct 4),,,,,,,,,,,,,,,,0.0
Josh Ali WR - ATL O View News,Josh Ali,WR,ATL,Bye,FA,,,,,,,,,,,,,,,,0.0
Devon Allen WR - PHI,Devon Allen,WR,PHI,@IND,FA,,,,,,,,,,,,,,,,0.0
Kazmeir Allen WR - WAS,Kazmeir Allen,WR,WAS,Bye,FA,,,,,,,,,,,,,,,,0.0
Keenan Allen WR - LAC,Keenan Allen,WR,LAC,KC,FlyRamsFly,,,,,,,5.0,94.0,,,,,,1.0,1.0,0.0
Daniel Arias WR - KC,Daniel Arias,WR,KC,Bye,FA,,,,,,,,,,,,,,,,0.0
Marcell Ateman WR - BUF,Marcell Ateman,WR,BUF,Bye,FA,,,,,,,,,,,,,,,,0.0
Tutu Atwell WR - LA,Tutu Atwell,WR,LA,@NO,Magic Eulers,,,,,,,1.0,62.0,1.0,,,,,,,0.0
Calvin Austin III WR - PIT,Calvin Austin III,WR,PIT,CIN,FA,,,,,,,,,,,,,,,,0.0
Kevin Austin Jr. WR,Kevin Austin Jr.,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Andre Baccellia WR - ARI,Andre Baccellia,WR,ARI,SF,FA,,,,,,,,,,,,,,,,0.0
Alex Bachman WR Q,Alex Bachman WR,Q,,WAS,FA,,,,,,,,,,,,,,,,0.0
Kawaan Baker WR,Kawaan Baker,WR,,LA,FA,,,,,,,,,,,,,,,,0.0
Daylen Baldwin WR Q,Daylen Baldwin WR,Q,,Bye,FA,,,,,,,,,,,,,,,,0.0
Taye Barber WR,Taye Barber,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jose Barbon WR,Jose Barbon,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Rashod Bateman WR - BAL O View News,Rashod Bateman,WR,BAL,CAR,FA,,,,,,,,,,,,,,,,0.0
Cole Beasley WR - NYG O,Cole Beasley,WR,NYG,CLE,FA,,,,,,,,,,,,,,,,0.0
Odell Beckham Jr. WR - BAL O View News,Odell Beckham Jr.,WR,BAL,CAR,FA,,,,,,,,,,,,,,,,0.0
David Bell WR - CLE,David Bell,WR,CLE,@BUF,FA,,,,,,,4.0,22.0,,,,,,,,0.0
Trinity Benson WR,Trinity Benson,WR,,@NYG,FA,,,,,,,,,,,,,,,,0.0
Jared Bernhardt WR,Jared Bernhardt,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Braxton Berrios WR - MIA,Braxton Berrios,WR,MIA,Bye,FA,,,,,,,,,,30.0,,,,,1.0,0.0
Stanley Berryhill WR SUS,Stanley Berryhill WR,SUS,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tarik Black WR - BAL,Tarik Black,WR,BAL,CAR,FA,,,,,,,,,,,,,,,,0.0
C.J. Board WR Q,C.J. Board WR,Q,,@GB,FA,,,,,,,,,,12.0,,,,,,0.0
Jake Bobo WR - SEA,Jake Bobo,WR,SEA,Bye,FA,,,,,,,,,,,,,,,,0.0
Slade Bolden WR,Slade Bolden,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jadakis Bonds WR,Jadakis Bonds,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Kendrick Bourne WR - NE,Kendrick Bourne,WR,NE,NYJ,FlyRamsFly,,,,,,,1.0,8.0,,,,,,,,0.0
Kayshon Boutte WR - NE,Kayshon Boutte,WR,NE,Bye,FA,,,,,,,,,,,,,,,,0.0
Lynn Bowden WR - NO,Lynn Bowden,WR,NO,NYJ,FA,,,,,,,,,,,,,,,,0.0
Zion Bowens WR,Zion Bowens,WR,,Bye,FA,,,,,,,,,,,,,,,,0.0
Tyler Boyd WR - CIN,Tyler Boyd,WR,CIN,@PIT,FA,,,,,,,2.0,42.0,,,,,,,,0.0
Miles Boykin WR - PIT,Miles Boykin,WR,PIT,CIN,FA,,,,,,,,,,,,,,,,0.0
Ja'Marcus Bradley WR Q,Ja'Marcus Bradley WR,Q,,CIN,FA,,,,,,,,,,,,,,,,0.0
Shemar Bridges WR Q,Shemar Bridges WR,Q,,Bye,FA,,,,,,,,,,,,,,,,0.0
