Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Yasir Abdullah LB - JAX,Yasir Abdullah,LB,JAX,Bye,FA,,,,,,,,,,,,,,,,,0.0
Matthew Adams LB - CLE,Matthew Adams,LB,CLE,TB,FA,2.0,1.0,,,,,,,,,,,,,,,0.0
Azeez Al-Shaair LB - TEN,Azeez,Al,Shaair,CIN,Washington Fantasy Team,2.0,2.0,,,,,,,,,,,,,,,0.0
Christopher Allen LB Q,Christopher Allen LB,Q,,Bye,FA,,,,,,,,,,,,,,,,,0.0
Josh Allen LB - JAX,Josh Allen,LB,JAX,BAL,GLADIATORS of NORSCHT,2.0,3.0,,1.0,,,,,,,,,,,,,0.0
Troy Andersen LB - ATL IR,Troy Andersen,LB,ATL,@WAS,FA,2.0,3.0,,1.0,,,,,,,,,,,,,0.0
Alex Anzalone LB - DET,Alex Anzalone,LB,DET,BUF,Slay,7.0,2.0,,,1.0,,,,,,,,,1.0,,4.0,0.0
Brian Asamoah LB - MIN,Brian Asamoah,LB,MIN,NE,FA,,,,,,,,,,,,,,,,,0.0
Joe Bachie LB - CIN,Joe Bachie,LB,CIN,@TEN,FA,,1.0,,,,,,,,,,,,,,,0.0
Markus Bailey LB - CIN,Markus Bailey,LB,CIN,@TEN,FA,1.0,1.0,,,,,,,,,,,,,,,0.0
Jerome Baker LB - MIA,Jerome Baker,LB,MIA,HOU,Bad Wildcats Hunschat,3.0,1.0,1.0,,,1.0,,,,,,,,,1.0,,0.0
Derrick Barnes LB - DET Q,Derrick Barnes,LB,DET,BUF,W (Oct 4),2.0,1.0,,,,,,,,,,,,,,,0.0
Krys Barnes LB - ARI Q,Krys Barnes,LB,ARI,LAC,FA,5.0,1.0,,,,,,,,,,,,,,,0.0
Zaire Barnes LB - NYJ,Zaire Barnes,LB,NYJ,Bye,FA,,,,,,,,,,,,,,,,,0.0
Shaquil Barrett LB - TB,Shaquil Barrett,LB,TB,@CLE,St Quintin Heidschnucken,,,,,,,,,,,,,,,,,0.0
Cody Barton LB - WAS,Cody Barton,LB,WAS,ATL,Wbn Beasts,8.0,4.0,,1.0,,,,,,,,,,1.0,,,0.0
Tarell Basham LB,Tarell Basham,LB,,@TEN,FA,,,,,,,,,,,,,,,,,0.0
Zack Baun LB - NO,Zack Baun,LB,NO,@SF,FA,4.0,,,1.0,,,,,,,,,,,1.0,,0.0
Robert Beal Jr. LB - SF IR,Robert Beal Jr.,LB,SF,Bye,FA,,,,,,,,,,,,,,,,,0.0
Darrian Beavers LB - NYG,Darrian Beavers,LB,NYG,@DAL,FA,,,,,,,,,,,,,,,,,0.0
Ja'Whaun Bentley LB - NE,Ja'Whaun Bentley,LB,NE,@MIN,Boppard Raiders,3.0,5.0,,,,,,,,,,,,,,,0.0
Terrel Bernard LB - BUF,Terrel Bernard,LB,BUF,@DET,FlyRamsFly,,,,,,,,,,,,,,,,,0.0
Rashod Berry LB SUS,Rashod Berry LB,SUS,,PIT,FA,,,,,,,,,,,,,,,,,0.0
Chris Board LB - NE,Chris Board,LB,NE,@MIN,FA,1.0,,,,,,,,,,,,,,,,0.0
Curtis Bolton LB - LV O View News,Curtis Bolton,LB,LV,Bye,FA,,,,,,,,,,,,,,,,,0.0
Nik Bonitto LB - DEN,Nik Bonitto,LB,DEN,@CAR,FA,1.0,,,,,,,,,,,,,,1.0,,0.0
Joey Bosa LB - LAC Q View News,Joey Bosa,LB,LAC,@ARI,GLADIATORS of NORSCHT,,,,,,,,,,,,,,,,,0.0
Tyus Bowser LB - BAL NFI-R,Tyus Bowser,LB,BAL,@JAX,FA,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,1.0,,0.0
