Player,Name,Position,Team,Opp,Manager,Passing_Comp,Passing_Yds,Passing_TD,Passing_Int,Rushing_Yds,Rushing_TD,Receiving_Rec,Receiving_Yds,Receiving_TD,Return_Yds,Return_TD,Misc_FumTD,Misc_2PT,Fumble_Lost,Fumble_Fum,Fantasy_Points
Holton Ahlers QB,Holton Ahlers,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Brandon Allen QB - SF,Brandon Allen,QB,SF,BAL,FA,,,,,,,,,,,,,,,,0.0
Josh Allen QB - BUF,Josh Allen,QB,BUF,NE,FlyRamsFly,19.0,254.0,3.0,1.0,16.0,,,,,,,,,,,0.0
Kyle Allen QB - BUF,Kyle Allen,QB,BUF,NE,FA,,,,,,,,,,,,,,,,0.0
Tyson Bagent QB - CHI,Tyson Bagent,QB,CHI,Bye,FA,,,,,,,,,,,,,,,,0.0
Matt Barkley QB Q,Matt Barkley QB,Q,,NE,FA,,,,,,,,,,,,,,,,0.0
C.J. Beathard QB - JAX,C.J. Beathard,QB,JAX,TEN,FA,,,,,,,,,,,,,,,,0.0
Stetson Bennett QB - LA NFI-R,Stetson Bennett,QB,LA,Bye,FA,,,,,,,,,,,,,,,,0.0
James Blackman QB,James Blackman,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
David Blough QB - DET,David Blough,QB,DET,@SF,W (Oct 4),14.0,180.0,1.0,2.0,-2.0,,,,,,,,,1.0,1.0,0.0
Ian Book QB,Ian Book,QB,,NYG,FA,,,,,,,,,,,,,,,,0.0
Tim Boyle QB - NYJ,Tim Boyle,QB,NYJ,@MIA,FA,2.0,33.0,,2.0,-2.0,,,,,,,,,,,0.0
Teddy Bridgewater QB - DET,Teddy Bridgewater,QB,DET,NYJ,W (Oct 4),,,,,,,,,,,,,,,,0.0
Jacoby Brissett QB - WAS,Jacoby Brissett,QB,WAS,DAL,FA,,,,,,,,,,,,,,,,0.0
Anthony Brown QB,Anthony Brown,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jake Browning QB - CIN,Jake Browning,QB,CIN,BAL,FA,,,,,,,,,,,,,,,,0.0
Shane Buechele QB - BUF,Shane Buechele,QB,BUF,@LV,FA,,,,,,,,,,,,,,,,0.0
Joe Burrow QB - CIN View News,Joe Burrow,QB,CIN,BAL,Magic Eulers,25.0,215.0,1.0,,10.0,,,,,,,,,1.0,1.0,0.0
Derek Carr QB - NO Q View News,Derek Carr,QB,NO,CAR,FA,,,,,,,,,,,,,,,,0.0
Sean Clifford QB - GB,Sean Clifford,QB,GB,Bye,W (Oct 4),,,,,,,,,,,,,,,,0.0
Matt Corral QB,Matt Corral,QB,,@NO,FA,,,,,,,,,,,,,,,,0.0
Kirk Cousins QB - MIN,Kirk Cousins,QB,MIN,@CHI,FlyRamsFly,17.0,225.0,1.0,,,,,,,,,,,,,0.0
Malik Cunningham QB - NE,Malik Cunningham,QB,NE,Bye,FA,,,,,,,,,,,,,,,,0.0
Andy Dalton QB - CAR,Andy Dalton,QB,CAR,@NO,FA,15.0,171.0,1.0,,2.0,,,,,,,,,,,0.0
Sam Darnold QB - SF,Sam Darnold,QB,SF,ARI,FA,5.0,43.0,,2.0,32.0,,,,,,,,,,2.0,0.0
Tommy DeVito QB - NYG,Tommy DeVito,QB,NYG,Bye,FA,,,,,,,,,,,,,,,,0.0
Ben DiNucci QB - DEN,Ben DiNucci,QB,DEN,Bye,FA,,,,,,,,,,,,,,,,0.0
Joshua Dobbs QB - ARI,Joshua Dobbs,QB,ARI,@PIT,FA,20.0,179.0,1.0,1.0,32.0,,,,,,,,,1.0,2.0,0.0
Jeff Driskel QB - ARI,Jeff Driskel,QB,ARI,@IND,FA,,,,,,,,,,,,,,,,0.0
Max Duggan QB - LAC,Max Duggan,QB,LAC,Bye,FA,,,,,,,,,,,,,,,,0.0
Jacob Eason QB,Jacob Eason,QB,,@NO,FA,,,,,,,,,,,,,,,,0.0
Sam Ehlinger QB - IND Q View News,Sam Ehlinger,QB,IND,HOU,FA,23.0,209.0,2.0,2.0,21.0,,,,,,,,,,1.0,0.0
Danny Etling QB,Danny Etling,QB,,DET,FA,,,,,,,,,,,,,,,,0.0
Justin Fields QB - CHI,Justin Fields,QB,CHI,MIN,Wbn Beasts,,,,,,,,,,,,,,,,0.0
Nick Foles QB,Nick Foles,QB,,HOU,FA,,,,,,,,,,,,,,,,0.0
Jake Fromm QB - WAS,Jake Fromm,QB,WAS,DAL,FA,,,,,,,,,,,,,,,,0.0
Blaine Gabbert QB - KC,Blaine Gabbert,QB,KC,@LV,FA,6.0,29.0,1.0,,,,,,,,,,,,,0.0
Chase Garbers QB,Chase Garbers,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jimmy Garoppolo QB - LV Q View News,Jimmy Garoppolo,QB,LV,KC,FA,,,,,,,,,,,,,,,,0.0
Jared Goff QB - DET,Jared Goff,QB,DET,@GB,Wbn Beasts,23.0,224.0,,,5.0,,,,,,,,,,1.0,0.0
Will Grier QB - NE,Will Grier,QB,NE,@WAS,FA,,,,,,,,,,,,,,,,0.0
Jarrett Guarantano QB,Jarrett Guarantano,QB,,Bye,FA,,,,,,,,,,,,,,,,0.0
Jake Haener QB - NO SUS,Jake Haener,QB,NO,Bye,FA,,,,,,,,,,,,,,,,0.0
Jaren Hall QB - MIN Q View News,Jaren Hall,QB,MIN,Bye,FA,,,,,,,,,,,,,,,,0.0
Taylor Heinicke QB - ATL,Taylor Heinicke,QB,ATL,TB,FA,,,,,,,,,,,,,,,,0.0
Justin Herbert QB - LAC,Justin Herbert,QB,LAC,@DEN,Bad Wildcats Hunschat,25.0,273.0,2.0,,-1.0,,,,,,,,,,1.0,0.0
Hendon Hooker QB - DET NFI-R,Hendon Hooker,QB,DET,Bye,W (Oct 4),,,,,,,,,,,,,,,,0.0
