Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Darius Slay DB - PHI,Darius Slay,DB,PHI,@NE,GLADIATORS of NORSCHT,1.0,2.0,,,1.0,,,1.0,,,,,,3.0,,70.0,38.0
Nate Hobbs DB - LV Q View News,Nate Hobbs,DB,LV,@DEN,Boppard Raiders,8.0,4.0,,2.0,,,,,,,,,,,1.0,,26.0
Jevon Holland DB - MIA,Jevon Holland,DB,MIA,@LAC,GLADIATORS of NORSCHT,10.0,4.0,,1.0,,,,,,,,,,,,,24.0
Jordan Whitehead DB - NYJ,Jordan Whitehead,DB,NYJ,BUF,St Quintin Heidschnucken,1.0,1.0,,,3.0,,,,,,,,,3.0,,,23.5
Antoine Winfield Jr. DB - TB,Antoine Winfield Jr.,DB,TB,@MIN,Koblenz 87ers,4.0,4.0,1.0,,,1.0,1.0,,,,,,,1.0,2.0,,23.0
Brian Branch DB - DET Q View News,Brian Branch,DB,DET,@KC,FlyRamsFly,2.0,1.0,,,1.0,,,1.0,,,,,,1.0,,50.0,22.5
Reed Blankenship DB - PHI,Reed Blankenship,DB,PHI,@NE,Alta Villa Cardinals,8.0,4.0,,,,,,,,,,,,2.0,,,22.0
DaRon Bland DB - DAL,DaRon Bland,DB,DAL,@NYG,FA,3.0,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,22.0,21.4
DeShon Elliott DB - MIA Q View News,DeShon Elliott,DB,MIA,@LAC,Wbn Beasts,8.0,5.0,,,,,,,,,,,,,,,20.5
D.J. Reed DB - NYJ,D.J. Reed,DB,NYJ,BUF,FA,10.0,1.0,,,,,,,,,,,,,,,20.5
Alohi Gilman DB - LAC Q View News,Alohi Gilman,DB,LAC,MIA,Washington Fantasy Team,9.0,2.0,,,,,,,,,,,,,,,20.0
Stephon Gilmore DB - DAL,Stephon Gilmore,DB,DAL,@NYG,FA,4.0,,,,1.0,,,,,,,,,3.0,,,20.0
Brandon Stephens DB - BAL,Brandon Stephens,DB,BAL,HOU,FA,8.0,4.0,,,,,,,,,,,,,,,20.0
Jessie Bates DB - ATL,Jessie Bates,DB,ATL,CAR,Alta Villa Cardinals,5.0,5.0,,,2.0,1.0,,,,,,,,2.0,,3.0,19.1
Amani Hooker DB - TEN,Amani Hooker,DB,TEN,@NO,Slay,3.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,2.0,,10.0,19.0
Marshon Lattimore DB - NO,Marshon Lattimore,DB,NO,TEN,FlyRamsFly,2.0,,,,1.0,,,,,,,,,4.0,,,19.0
J.C. Jackson DB - LAC View News,J.C. Jackson,DB,LAC,MIA,FA,,,,,1.0,,,,,,,,,3.0,,9.0,17.8
Daxton Hill DB - CIN,Daxton Hill,DB,CIN,@CLE,Magic Eulers,5.0,1.0,,2.0,1.0,,,,,,,,,1.0,,20.0,17.5
Kader Kohou DB - MIA,Kader Kohou,DB,MIA,@LAC,FA,6.0,3.0,1.0,1.0,,,,,,,,,,,1.0,,17.5
Christian Gonzalez DB - NE,Christian Gonzalez,DB,NE,PHI,Bad Wildcats Hunschat,5.0,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,,17.0
