Player,Name,Position,Team,Opp,Manager,Tackles_Tot,Tackles_Ast,Tackles_Sck,Tackles_TFL,Turnover_Int,Turnover_Frc Fum,Turnover_Fum Rec,Score_Int TD,Score_FumTD,Score_Blk TD,Score_Saf,Score_Def 2pt Ret,Other_Blk,Other_PDef,Other_QB Hit,Return_Int Yds,Fantasy_Points
Drake Jackson DL - SF,Drake Jackson,DL,SF,@PIT,St Quintin Heidschnucken,3.0,,3.0,2.0,,,,,,,,,,,3.0,,41.0
Brian Burns DL - CAR,Brian Burns,DL,CAR,@ATL,Magic Eulers,5.0,2.0,2.0,2.0,,1.0,,,,,,,,,1.0,,37.0
Dorance Armstrong DL - DAL,Dorance Armstrong,DL,DAL,@NYG,FA,3.0,,2.0,3.0,,,,,,,,,,,2.0,,35.0
Osa Odighizuwa DL - DAL,Osa Odighizuwa,DL,DAL,@NYG,FA,2.0,2.0,2.0,2.0,,,,,,,,,,,3.0,,35.0
Quinton Jefferson DL - NYJ,Quinton Jefferson,DL,NYJ,BUF,FA,2.0,1.0,2.0,2.0,,,,,,,,,,,3.0,,34.5
DeForest Buckner DL - IND Q View News,DeForest Buckner,DL,IND,JAX,St Quintin Heidschnucken,4.0,3.0,1.0,1.0,,1.0,1.0,,1.0,,,,,,2.0,,29.5
Montez Sweat DL - WAS,Montez Sweat,DL,WAS,ARI,Washington Fantasy Team,4.0,1.0,1.5,2.0,,2.0,,,,,,,,,1.0,,25.5
Denico Autry DL - TEN Q View News,Denico Autry,DL,TEN,@NO,Magic Eulers,4.0,1.0,1.5,1.0,,,,,,,,,,,4.0,,23.5
Carl Granderson DL - NO,Carl Granderson,DL,NO,TEN,dirty birds,1.0,2.0,1.5,1.0,,,,,,,,,,,4.0,,21.0
Derrick Brown DL - CAR,Derrick Brown,DL,CAR,@ATL,Wbn Beasts,8.0,,1.0,2.0,,,,,,,,,,,1.0,,20.0
Jonathan Allen DL - WAS,Jonathan Allen,DL,WAS,ARI,Koblenz 87ers,3.0,1.0,1.0,2.0,,,,,,,,,,,3.0,,19.5
Devonte Wyatt DL - GB,Devonte Wyatt,DL,GB,@CHI,W (Oct 4),2.0,1.0,1.5,2.0,,,,,,,,,,,2.0,,19.5
Myles Garrett DL - CLE,Myles Garrett,DL,CLE,CIN,St Quintin Heidschnucken,2.0,,1.0,1.0,,,,,,,,,,,4.0,,18.0
Will Anderson Jr. DL - HOU,Will Anderson Jr.,DL,HOU,@BAL,St Quintin Heidschnucken,4.0,2.0,1.0,1.0,,,,,,,,,,,2.0,,17.0
Leonard Floyd DL - BUF,Leonard Floyd,DL,BUF,@NYJ,Alta Villa Cardinals,1.0,2.0,1.5,1.0,,,,,,,,,,,2.0,,17.0
Jonathan Greenard DL - HOU,Jonathan Greenard,DL,HOU,@BAL,FA,4.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,16.5
Jermaine Johnson II DL - NYJ,Jermaine Johnson II,DL,NYJ,BUF,FA,4.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,16.5
Michael Danna DL - KC,Michael Danna,DL,KC,DET,FA,4.0,2.0,1.0,1.0,,,,,,,,,,1.0,1.0,,16.0
Jeffery Simmons DL - TEN,Jeffery Simmons,DL,TEN,@NO,Koblenz 87ers,3.0,2.0,1.0,2.0,,,,,,,,,,,1.0,,16.0
Maxx Crosby DL - LV Q View News,Maxx Crosby,DL,LV,@DEN,Bad Wildcats Hunschat,2.0,3.0,1.0,1.0,,,,,,,,,,,2.0,,15.5
Yannick Ngakoue DL - CHI,Yannick Ngakoue,DL,CHI,GB,Wbn Beasts,3.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,15.5
Kwity Paye DL - IND,Kwity Paye,DL,IND,JAX,Boppard Raiders,3.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,15.5
Ed Oliver DL - BUF,Ed Oliver,DL,BUF,@NYJ,FA,3.0,2.0,0.5,1.0,,,,,,,,,,,3.0,,15.0
