Player,Team,Postion,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,TTL,AVG
Patrick Mahomes II,KC,QB,100,100,73,100,,,,,,,,,,,,,,,258,92
Jared Goff,DET,QB,100,100,100,100,,,,,,,,,,,,,,,281,100
Lamar Jackson,BAL,QB,100,100,100,95,,,,,,,,,,,,,,,266,99
C.J. Stroud,HOU,QB,100,100,100,100,,,,,,,,,,,,,,,288,100
Desmond Ridder,ATL,QB,100,100,100,100,,,,,,,,,,,,,,,259,100
Bryce Young,CAR,QB,100,98,0,100,,,,,,,,,,,,,,,208,100
Deshaun Watson,CLE,QB,100,100,93,0,,,,,,,,,,,,,,,227,98
Jake Browning,CIN,QB,7,0,0,0,,,,,,,,,,,,,,,4,7
Joe Burrow,CIN,QB,93,100,100,100,,,,,,,,,,,,,,,242,98
Kenny Pickett,PIT,QB,100,100,100,83,,,,,,,,,,,,,,,228,96
Sam Darnold,SF,QB,3,0,5,2,,,,,,,,,,,,,,,7,3
Brock Purdy,SF,QB,97,100,95,98,,,,,,,,,,,,,,,256,97
Sam Howell,WAS,QB,100,100,100,100,,,,,,,,,,,,,,,276,100
Joshua Dobbs,ARI,QB,100,100,100,100,,,,,,,,,,,,,,,259,100
Derek Carr,NO,QB,95,90,54,86,,,,,,,,,,,,,,,220,82
Ryan Tannehill,TEN,QB,100,100,96,100,,,,,,,,,,,,,,,240,99
Kirk Cousins,MIN,QB,100,100,100,100,,,,,,,,,,,,,,,252,100
Baker Mayfield,TB,QB,100,100,100,100,,,,,,,,,,,,,,,257,100
Anthony Richardson,IND,QB,96,32,0,100,,,,,,,,,,,,,,,151,78
Gardner Minshew II,IND,QB,4,68,100,0,,,,,,,,,,,,,,,126,59
Trevor Lawrence,JAC,QB,100,100,93,100,,,,,,,,,,,,,,,271,98
Justin Herbert,LAC,QB,100,100,100,100,,,,,,,,,,,,,,,280,100
Tua Tagovailoa,MIA,QB,100,100,79,100,,,,,,,,,,,,,,,253,94
Geno Smith,SEA,QB,100,100,100,69,,,,,,,,,,,,,,,236,93
Matthew Stafford,LAR,QB,100,100,100,100,,,,,,,,,,,,,,,298,100
Mac Jones,NE,QB,100,100,100,73,,,,,,,,,,,,,,,266,95
Jalen Hurts,PHI,QB,100,100,100,100,,,,,,,,,,,,,,,294,100
Justin Fields,CHI,QB,100,100,100,100,,,,,,,,,,,,,,,250,100
Jordan Love,GB,QB,92,100,100,100,,,,,,,,,,,,,,,241,98
Sean Clifford,GB,QB,8,0,0,0,,,,,,,,,,,,,,,5,8
Russell Wilson,DEN,QB,100,100,100,100,,,,,,,,,,,,,,,240,100
Jimmy Garoppolo,LV,QB,97,100,100,0,,,,,,,,,,,,,,,169,99
Tyrod Taylor,NYG,QB,4,0,6,0,,,,,,,,,,,,,,,6,5
Daniel Jones,NYG,QB,96,100,94,97,,,,,,,,,,,,,,,255,97
Dak Prescott,DAL,QB,88,100,100,90,,,,,,,,,,,,,,,282,95
Cooper Rush,DAL,QB,12,0,0,10,,,,,,,,,,,,,,,14,11
Zach Wilson,NYJ,QB,93,100,100,100,,,,,,,,,,,,,,,219,98
Aaron Rodgers,NYJ,QB,7,0,0,0,,,,,,,,,,,,,,,4,7
Josh Allen,BUF,QB,100,95,84,86,,,,,,,,,,,,,,,250,92
Kyle Allen,BUF,QB,0,5,16,14,,,,,,,,,,,,,,,23,11
Mike White,MIA,QB,0,0,21,0,,,,,,,,,,,,,,,15,21
C.J. Beathard,JAC,QB,0,0,7,0,,,,,,,,,,,,,,,5,7
Jameis Winston,NO,QB,0,0,38,2,,,,,,,,,,,,,,,24,19
Andy Dalton,CAR,QB,0,0,100,0,,,,,,,,,,,,,,,79,100
Blaine Gabbert,KC,QB,0,0,27,0,,,,,,,,,,,,,,,21,27
Mitch Trubisky,PIT,QB,0,0,0,17,,,,,,,,,,,,,,,10,17
Dorian Thompson-Robinson,CLE,QB,0,0,0,100,,,,,,,,,,,,,,,69,100
Tyler Huntley,BAL,QB,0,0,0,5,,,,,,,,,,,,,,,3,5
Aidan O'Connell,LV,QB,0,0,0,100,,,,,,,,,,,,,,,73,100
Bailey Zappe,NE,QB,0,0,0,27,,,,,,,,,,,,,,,15,27
Drew Lock,SEA,QB,0,0,0,31,,,,,,,,,,,,,,,17,31
Isiah Pacheco,KC,RB,48,51,42,60,,,,,,,,,,,,,,,139,50
Clyde Edwards-Helaire,KC,RB,22,16,30,9,,,,,,,,,,,,,,,54,19
Jerick McKinnon,KC,RB,31,33,29,31,,,,,,,,,,,,,,,86,31
Jahmyr Gibbs,DET,RB,27,48,60,37,,,,,,,,,,,,,,,121,43
David Montgomery,DET,RB,79,45,0,71,,,,,,,,,,,,,,,138,65
Gus Edwards,BAL,RB,23,43,44,69,,,,,,,,,,,,,,,119,44
J.K. Dobbins,BAL,RB,47,0,0,0,,,,,,,,,,,,,,,30,47
Justice Hill,BAL,RB,30,57,0,12,,,,,,,,,,,,,,,69,35
Dameon Pierce,HOU,RB,47,45,54,59,,,,,,,,,,,,,,,146,51
Devin Singletary,HOU,RB,21,36,39,35,,,,,,,,,,,,,,,93,32
Mike Boone,HOU,RB,32,0,7,6,,,,,,,,,,,,,,,33,16
Tyler Allgeier,ATL,RB,56,44,30,26,,,,,,,,,,,,,,,100,39
Bijan Robinson,ATL,RB,63,72,81,76,,,,,,,,,,,,,,,190,73
Keith Smith,ATL,RB,19,21,0,29,,,,,,,,,,,,,,,44,23
Chuba Hubbard,CAR,RB,36,37,34,54,,,,,,,,,,,,,,,116,40
Miles Sanders,CAR,RB,57,62,65,43,,,,,,,,,,,,,,,163,57
Jerome Ford,CLE,RB,41,49,56,62,,,,,,,,,,,,,,,156,52
Nick Chubb,CLE,RB,49,21,0,0,,,,,,,,,,,,,,,54,34
Trayveon Williams,CIN,RB,29,17,18,11,,,,,,,,,,,,,,,46,19
Chris Evans,CIN,RB,12,0,0,0,,,,,,,,,,,,,,,7,12
Joe Mixon,CIN,RB,62,78,75,79,,,,,,,,,,,,,,,182,74
Najee Harris,PIT,RB,52,57,50,49,,,,,,,,,,,,,,,124,52
Jaylen Warren,PIT,RB,40,43,45,49,,,,,,,,,,,,,,,105,44
Anthony McFarland Jr.,PIT,RB,8,0,0,0,,,,,,,,,,,,,,,5,8
Christian McCaffrey,SF,RB,85,100,61,85,,,,,,,,,,,,,,,213,81
Elijah Mitchell,SF,RB,15,0,34,0,,,,,,,,,,,,,,,38,25
Antonio Gibson,WAS,RB,35,48,61,38,,,,,,,,,,,,,,,123,45
Chris Rodriguez Jr.,WAS,RB,4,3,0,0,,,,,,,,,,,,,,,5,3
Brian Robinson Jr.,WAS,RB,61,52,37,55,,,,,,,,,,,,,,,144,52
James Conner,ARI,RB,84,72,64,62,,,,,,,,,,,,,,,182,70
Keaontay Ingram,ARI,RB,11,15,15,0,,,,,,,,,,,,,,,26,14
Jamaal Williams,NO,RB,75,23,0,0,,,,,,,,,,,,,,,67,47
Tony Jones Jr.,NO,RB,11,52,49,0,,,,,,,,,,,,,,,77,38
Adam Prentice,NO,RB,17,0,0,14,,,,,,,,,,,,,,,20,15
Tyjae Spears,TEN,RB,54,37,56,53,,,,,,,,,,,,,,,120,50
Derrick Henry,TEN,RB,48,71,38,59,,,,,,,,,,,,,,,133,55
Alexander Mattison,MIN,RB,73,76,80,69,,,,,,,,,,,,,,,190,75
Ty Chandler,MIN,RB,17,12,15,0,,,,,,,,,,,,,,,30,15
C.J. Ham,MIN,RB,34,0,10,10,,,,,,,,,,,,,,,35,18
Sean Tucker,TB,RB,15,24,9,0,,,,,,,,,,,,,,,31,17
Rachaad White,TB,RB,79,72,91,70,,,,,,,,,,,,,,,198,77
Chase Edmonds,TB,RB,12,4,0,0,,,,,,,,,,,,,,,11,8
Deon Jackson,IND,RB,71,0,0,0,,,,,,,,,,,,,,,51,71
Jake Funk,IND,RB,18,0,0,0,,,,,,,,,,,,,,,13,18
Evan Hull,IND,RB,11,0,0,0,,,,,,,,,,,,,,,8,11
Travis Etienne Jr.,JAC,RB,80,72,71,85,,,,,,,,,,,,,,,212,77
D'Ernest Johnson,JAC,RB,1,9,16,2,,,,,,,,,,,,,,,20,7
Tank Bigsby,JAC,RB,21,0,12,12,,,,,,,,,,,,,,,32,15
Austin Ekeler,LAC,RB,51,0,0,0,,,,,,,,,,,,,,,41,51
Joshua Kelley,LAC,RB,48,79,73,60,,,,,,,,,,,,,,,180,64
Salvon Ahmed,MIA,RB,28,19,0,0,,,,,,,,,,,,,,,31,24
Raheem Mostert,MIA,RB,73,73,51,43,,,,,,,,,,,,,,,160,60
Alec Ingold,MIA,RB,45,0,34,31,,,,,,,,,,,,,,,75,37
